# Batch P017 - Previously missing videos
# Created: 2026-02-09
# Videos: 95
#
# Format: source_name | video_folder_name
coach_kyle_deep_videos | Weird Technique Makes Only Hot Girls Chase You 😈 [XCvDf5YxtBg]
coach_kyle_infield | The Conversation Hook Women Can't Resist [g4A8nBsU9Fs]
coach_kyle_infield | This ONE Phrase Makes Any Conversation Flirty FAST [04njgij7V7w]
coach_kyle_infield | Watch Me Get Rejected… Twice (INFIELD) [aGAWexLePYc]
coach_kyle_infield | What Happens When 2 Guys Approach the SAME Woman？ (LIVE DEMO) [FD6h9dzC-F8]
coach_kyle_infield | What to say to a Woman in the 1st Minute ？ (LIVE DEMO) [NwsML0CZ2uo]
coach_kyle_infield | What to say to a Woman in the 1st Minute ？ (LIVE DEMO) [kVoqRlar_FU]
coach_kyle_infield | What to say to a Woman when she's with friends？ (LIVE DEMO) [7taia9-erqA]
coach_kyle_infield | Why She Never Responds After Getting Her Number？ [g0aE4mO24IY]
coach_kyle_infield | Why Your Cold Approach Isn't Working and How to Fix It Now [9tOY-lqivmE]
coach_kyle_infield | Will I Get REJECTED by These 2 HOT Girls？ [tgsG7Y-FXWI]
coach_kyle_infield | Will I Get REJECTED by This Cute Woman？ [cZhWRgTVM8A]
daily_evolution | Daygame Infield + How To Be Cool [Wzoe_7WStpQ]
daily_evolution | Do $hit You’re Proud Of DAILY [RDRT3QCHjc8]
daily_evolution | Evolution Daily - Live [UCp_3ZnE5OjPbQCO_LbhObGA]
daily_evolution | Evolution Daily - Shorts [UCp_3ZnE5OjPbQCO_LbhObGA]
daily_evolution | Evolution Daily - Videos [UCp_3ZnE5OjPbQCO_LbhObGA]
daily_evolution | Evolution Daily [@Evolutiondaily]
daily_evolution | Let Me Give You The Exact Lines You Need To Pull Chicks [GalM20Do15s]
daily_evolution | Nightgame makeout + 30 Girls In 30 Days 🤯 [RadYoY8V0IY]
daily_evolution | responding to all the hate comments [i1AN9SMhZow]
natural_lifestyles_askthecoaches | AskTheNaturals [PLtfVGUer52V6bnSBeCAqyIKU0Kv4Ctp0n]
natural_lifestyles_femalepsychology | Female Psychology [PLtfVGUer52V7X2zMqLM7W-60Smmu8DZp2]
natural_lifestyles_femalepsychology | ＂Approaching women just leads to rejection” - 7 Excuses That Ruin Your Dating Life [gJy-_c_zwN4]
natural_lifestyles_innergrowth | Inner Growth [PLtfVGUer52V5v9nE1ZEULzMhOZUF8J7xy]
natural_lifestyles_lifestyleacademy | Lifestyle Design Academy [PLtfVGUer52V5KZ3afAm_AyXYJzYAceJNQ]
natural_lifestyles_lifestyledesign | Lifestyle Design [PLtfVGUer52V6qsTT0959tfVtuYaY6MjCT]
natural_lifestyles_mastermind | Masculine Mastermind Conference - The Natural Lifestyles [PLtfVGUer52V6lCyAKEklvpVQrJfkzztPF]
natural_lifestyles_meetingGirlsIRL | Meeting Girls in Real Life [PLtfVGUer52V7lhPcOPFyr1n1cCBeXIB3z]
natural_lifestyles_students | Barcelona Workshops [PLtfVGUer52V7aImnrzNw2iMXBVWLxYo12]
playing_with_fire_infield | 40 Year Old ＂Natural＂ Tries Cold Approach [QVfFg_rFJyw]
playing_with_fire_infield | 7 Steps To Mastering Cold Approach (+ Real Infield) [clWClbCY9jI]
playing_with_fire_infield | 8 Min Cold Approach Pull (Picking Up Two Girls On The Street w⧸ @aghayden ) [rlTWDFLaWCY]
playing_with_fire_infield | Can An Average Guy Pickup A Hot Girl [0m3iRVM4FZk]
playing_with_fire_infield | Can a Chad Get a Date with No Game？ (Pickup Experiment) [01TqyTfN4kE]
playing_with_fire_infield | Cold Approach Infield Examples + Live Q&A [-K-1iSpitDk]
playing_with_fire_infield | Dating Coach Vs IG’s Biggest PUA [6F98Cxe4Tlc]
playing_with_fire_infield | Epic Infield Rejection Compilation (Special 75k Bonus) [CdNI2fre0SY]
playing_with_fire_infield | Flat Earthers Pick Up Hot Girls (LIVE infield) [g-hSM5Vb4Sk]
playing_with_fire_infield | FreshPrinceCeo FINALLY Picks Up A Girl (Crazy Infield) [jljQm8Hr5mY]
playing_with_fire_infield | Girl Rejects Me (Awkward Infield Rejection) [PQW4BDKfAv8]
playing_with_fire_infield | How To Approach A Girl Like A Boss (PWF Client Infield Demonstration) [feaoEKc17qo]
playing_with_fire_infield | How To Approach A Girl Wearing A Mask (Infield Demonstration) [qlV2aMbhvA0]
playing_with_fire_infield | How To Approach A Girl in EVERY Situation (Live Demo) [a5pPmkB-A7I]
playing_with_fire_infield | How To Get An Instant Date In 2 Minutes (100% Real Infield) [9r6_bAyzIZE]
playing_with_fire_infield | How To Make A Conversation SEXUAL Fast (Real Infield) [r3IxufCN1k0]
playing_with_fire_infield | How To Pickup A Girl At The Mall (Daygame Infield Breakdown) [yTWnGdzgz7w]
playing_with_fire_infield | How To Pickup A Girl On The Street (Full Infield Breakdown) [hr7oNU8N_PA]
playing_with_fire_infield | How To Pickup A Hot Girl With Her Mom [MLsXlUmxIpk]
playing_with_fire_infield | How To Pickup Girls With A 100% Success Rate [OntdnFF7HSM]
playing_with_fire_infield | How To Pull A Girl Home From A Date (Live Infield) [h-wWMx5Ssac]
playing_with_fire_infield | How To Talk To A Girl At A Coffee Shop (Live Daygame Infield Breakdown) [Iv0AbAOXU9A]
playing_with_fire_infield | How to Approach Girls ｜ From Opener to Date (Daygame Infield & Text Screenshots) [EpNmjlq0H0k]
playing_with_fire_infield | How to Approach Women on The Street (LIVE Infield Breakdown) [3ruR2znrHMM]
playing_with_fire_infield | How to Approach a Shy Girl and Get a Date - INFIELD (+ Text Interaction) [8kJK_bB5LEo]
playing_with_fire_infield | How to Beat Approach Anxiety Forever (Stop Being Scared to Talk to Girls!) [_pTDnepMv2Y]
playing_with_fire_infield | How to Tell If A Girl Likes You (Look For These Signs of Attraction) [TfJZ1k5UnFA]
playing_with_fire_infield | Picking Up A Bratty Girl During An Interview [sx6BdsFnJpY]
playing_with_fire_infield | Picking Up A Cute Colombian Girl [X6VydswgnfY]
playing_with_fire_infield | Picking Up A Cute European Girl [Q1EKi27lV1M]
playing_with_fire_infield | Picking Up A Girl Gets Sexual Fast (Daygame Infield) [C6KOmMdgQeI]
playing_with_fire_infield | Picking Up A Raver Girl At Ultra (This Is How You Tease A Girl) [tX9j5cLK63I]
playing_with_fire_infield | Picking Up Girls Using Andrew Tate Lines [jeFPE9bzjow]
playing_with_fire_infield | Picking Up Miami Girls In A Lamborghini (Crazy Infield) [fO1NVRiSy9s]
playing_with_fire_infield | Shoe Interrogation Scene ｜ INGLOURIOUS BASTERDS (2009) Movie CLIP HD [OkKW4rFrY9s]
playing_with_fire_infield | Social Experiment： Does Race Matter In Approaching Girls [D-7S6jnXDCg]
playing_with_fire_infield | Special 50k Daygame Infield Reveal ⧸ Live Q&A [37je3fMAEGI]
playing_with_fire_infield | The Best Night Game Opener Revealed (Infield Breakdown) [oZjZU0kksK8]
playing_with_fire_infield | This Street Interview Escalated Quickly... [68kUvx1TUdY]
playing_with_fire_infield | What Happens When You Cockblock A CHAD… [zWyau0QVSpA]
playing_with_fire_infield | What It's Like For a Girl Alone at a Bar (Hidden Infield + Surprise) [Y__pXW363dA]
playing_with_fire_infield | White Guy vs. Indian - Same Girl Cold Approach Experiment (Infield Breakdown) [G9ZQD5QD-pk]
social_stoic | Social Stoic - Videos [UCIE0qJTh0mRbGq880RQh2TA]
