# LOWTRANSCRIPT-RECHECK — 68 videos the old transcript_confidence<=55 gate blocked.
# Re-run 06->09 with new scoring prompt + threshold 35. Created 2026-07-08.
#
daily_evolution | Snapchat Infield ｜ Babes + Parties [JzYOhgT1MEM]
daily_evolution | Should I Use Tinder While Learning Cold Approach？ [hAKtKaRqoqQ]
daily_evolution | SOUTH BEACH PARTY [v6Wdc3BxL6U]
daily_evolution | How To Get Sexual With Girls INSTANTLY w⧸ INFIELD ｜ The Big Bang of Sexuality [BiExHv_pmXg]
daily_evolution | Picking Up Cute Latina [ Raw Daygame Infield Pickup ] [H-qhOWc5NGo]
playing_with_fire_infield | 40 Year Old ＂Natural＂ Tries Cold Approach [QVfFg_rFJyw]
daily_evolution | Two Girls Love Me One Girl Hates Me ：( [rIOE9u18Wjg]
daily_evolution | INFIELD + Picking Up HOT Black Grocery Store Employee [1sGggEyTJTE]
daily_evolution | Rizzing The Hottest Girl You've Ever Seen 🤯 [7Qsz-VymDDk]
daily_evolution | INFIELD + Daygame Instant Date With Hot Hipster [7begssQnizw]
social_stoic | Cold Approaching Girls in Prague (Infields) [A6dFLFMNK_I]
daily_evolution | Daygame Student Infield Coaching Session Part 2 [Hf6c3iT6N_4]
playing_with_fire_infield | Picking Up A Cute European Girl [Q1EKi27lV1M]
daily_evolution | Picking Up Hot Swedish Girls [R3x1zuKnZwU]
daily_evolution | INFIELD + DAYGAME Stealing Cutie From Soldier Boyfriend [SnzpDLBF0y0]
austen_summers_client_results | Leveled Up Social Skills, Looks, and Online - Immersion Results [TPyy-HDQOFM]
daily_evolution | Picking Up TWO Hot College Girls [ZrEfOj0eUwA]
daily_evolution | DAYGAME PICKUP INFIELD 1 HOUR COMPILATION [e1eqqTOSlkE]
daily_evolution | Infield Daygame Miami Beach + Aggressiveness + Pickup [eCVTnPVg0ls]
daily_evolution | Daygame Pickup Goes Horribly Wrong [fR2SHFTVlII]
TODD_V | 04.3a Todd V - How To Make Her Chase You Instantly (Infield Breakdown) [gyZTpsBy-oo]
playing_with_fire_infield | FreshPrinceCeo FINALLY Picks Up A Girl (Crazy Infield) [jljQm8Hr5mY]
daily_evolution | hot girls hate this approach 😖 (+daygame infield) [pPSIJ90s75w]
daily_evolution | POV Infield Coffee Shop Cutie [r5uhRWAVE50]
playing_with_fire_infield | 8 Min Cold Approach Pull (Picking Up Two Girls On The Street w⧸ @aghayden ) [rlTWDFLaWCY]
daily_evolution | Sweet Angel Loves My Direct Opener 🥰 (+Daygame Infield) [vbJ3eOJrzmM]
playing_with_fire_infield | Can An Average Guy Pickup A Hot Girl [0m3iRVM4FZk]
daily_evolution | Hot College Girl Instant Date [Daygame Infield] [8HCMKSc7bJs]
playing_with_fire_infield | Epic Infield Rejection Compilation (Special 75k Bonus) [CdNI2fre0SY]
daily_evolution | Just Approach Chicks!!! Cmon!!! (+Infield) [Iv4KxYECLr4]
daily_evolution | Infield Breakdown ｜ Crazy 3-Way Makeout! [KGenHy9ieCw]
playing_with_fire_infield | How to Tell If A Girl Likes You (Look For These Signs of Attraction) [TfJZ1k5UnFA]
daily_evolution | Rizzing Up A Hot Latina 🥵 [bU_g3zWCdLk]
daily_evolution | Pickup Infield ｜ Making Out With Hot Black Girl Nightgame [eNluVx4DMlg]
daily_evolution | Daygame Student Infield Coaching Session Part 1 [egEpZJfgwfc]
austen_summers_meets_girls | Casey Neistat Picking Up Girls [fbRpUOxqWcs]
daily_evolution | Normal Guy Game + Daygame Infield + The Wantrepreneur Virus [keo4pM_QFus]
daily_evolution | Pickup Infield (Easy And Fun) [pT7OxhR8Axw]
social_stoic | Flirt Like This or Stay Friendzoned Forever (Infield Proof) [s4aUoByxPfU]
daily_evolution | Night Game Infield ｜ Adapt Your Character! [vpCh1gX2rg4]
daily_evolution | Instant Date Infield Pickup + Advice For Pulling [zYTLqCV3Ew0]
